Player Name,Team,Pos,Games,G,A,Pts,PIM,SOG,Hits,BS
Pavel Buchnevich,NYR,LW,64,21,17,38,13,119,60,20
Michael Bunting,ARI,LW,5,1,0,1,2,5,6,1
Andre Burakovsky,COL,LW,76,12,13,25,14,100,35,29
Erik Burgdoerfer,WAS,D,4,0,0,0,2,2,16,0
Brent Burns,SJ,D,82,16,67,83,34,300,90,105
Will Butcher,NJ,D,78,4,26,30,18,108,38,74
Chris Butler,FA,D,13,1,1,2,0,10,17,17
Dustin Byfuglien,WPG,D,42,4,27,31,69,115,77,51
Paul Byron,MON,C,56,15,16,31,17,94,114,36
Drake Caggiula,CHI,LW,55,12,11,23,28,96,135,26
Ryan Callahan,OTT,RW,52,7,10,17,14,76,89,25
Matt Calvert,COL,LW,82,11,15,26,58,141,115,51
Kyle Capobianco,ARI,D,2,0,0,0,0,1,2,2
Paul Carey,BOS,RW,7,0,0,0,0,4,3,3
Brandon Carlo,BOS,D,72,2,8,10,47,116,134,88
John Carlson,WAS,D,80,13,57,70,34,185,54,164
Gabriel Carlsson,CLS,D,1,0,0,0,2,1,0,0
Ryan Carpenter,CHI,C,68,5,13,18,8,102,126,17
Daniel Carr,NSH,LW,6,1,0,1,0,11,9,3
Connor Carrick,NJ,D,34,2,9,11,19,42,25,37
Sam Carrick,ANH,C,6,0,1,1,2,5,15,2
Trevor Carrick,SJ,D,1,0,0,0,5,0,1,1
William Carrier,VGK,LW,54,8,1,9,29,85,277,13
Jeff Carter,LA,C,76,13,20,33,42,174,80,30
Colby Cave,EDM,C,53,3,5,8,16,58,73,18
Cody Ceci,TOR,D,74,7,19,26,18,132,120,142
Peter Cehlarik,BOS,C,20,4,2,6,6,30,5,7
Erik Cernak,TB,D,58,5,11,16,58,107,198,79
Thomas Chabot,OTT,D,70,14,41,55,32,185,71,112
Michael Chaput,ARI,C,32,0,5,5,14,31,53,17
Zdeno Chara,BOS,D,62,5,9,14,57,99,81,88
Rourke Chartier,FA,C,13,1,0,1,2,19,14,3
Jake Chelios,FA,D,5,0,0,0,2,5,7,5
Ben Chiarot,MON,D,78,5,15,20,62,111,171,139
Alex Chiasson,EDM,RW,73,22,16,38,32,123,85,31
Filip Chlapik,OTT,C,5,1,0,1,4,9,1,4
Dennis Cholowski,DET,D,52,7,9,16,16,71,18,50
Jakob Chychrun,ARI,D,53,5,15,20,28,117,74,77
Filip Chytil,NYR,C,75,11,12,23,8,133,29,21
Anthony Cirelli,TB,C,82,19,20,39,34,123,94,49
Casey Cizikas,NYI,C,73,20,13,33,36,111,129,68
Fredrik Claesson,FA,D,37,2,4,6,9,44,76,33
Adam Clendening,CLS,D,4,0,0,0,0,3,1,3
Kyle Clifford,LA,LW,72,11,10,21,96,115,115,24
Connor Clifton,BOS,D,19,0,1,1,15,22,40,13
Cal Clutterbuck,NYI,RW,73,8,15,23,44,95,209,40
Braydon Coburn,TB,D,74,4,19,23,34,113,96,62
Andrew Cogliano,DAL,LW,78,6,11,17,22,106,68,32
Ian Cole,COL,D,71,2,13,15,115,82,107,178
Blake Coleman,NJ,C,78,22,14,36,71,213,225,44
Michael Dal Colle,NYI,LW,28,3,4,7,2,34,10,8
Blake Comeau,DAL,LW,77,7,11,18,42,102,208,40
J.T. Compher,COL,C,66,16,16,32,31,118,33,59
Maxime Comtois,ANH,LW,10,2,5,7,7,9,27,3
Cory Conacher,TB,LW,1,0,0,0,2,1,0,0
Erik Condra,COL,RW,6,1,0,1,2,10,3,1
Kevin Connauton,COL,D,50,1,7,8,22,75,108,75
Brett Connolly,FLA,RW,81,22,24,46,24,139,53,25
Kyle Connor,WPG,LW,82,34,32,66,18,227,9,21
Andrew Copp,WPG,C,69,11,14,25,6,82,71,34
Nick Cousins,MON,C,81,7,20,27,35,144,115,51
Logan Couture,SJ,C,81,27,43,70,22,204,65,52
Sean Couturier,PHI,C,80,33,43,76,34,223,40,60
Charlie Coyle,BOS,RW,81,12,22,34,20,155,77,56
Adam Cracknell,FA,C,2,0,0,0,0,3,6,0
Sidney Crosby,PIT,C,79,35,65,100,36,220,85,43
Lawson Crouse,ARI,LW,81,11,14,25,67,131,288,44
Matt Cullen,FA,C,71,7,13,20,14,87,32,31
Josh Currie,EDM,RW,21,2,3,5,2,19,39,17
Austin Czarnik,CGY,C,54,6,12,18,8,65,10,24
Evgenii Dadonov,FLA,RW,82,28,42,70,8,195,33,42
Rasmus Dahlin,BUF,D,82,9,35,44,34,177,97,66
Carl Dahlstrom,CHI,D,38,0,6,6,6,42,33,35
Trevor Daley,DET,D,44,2,6,8,12,47,14,53
Zac Dalpe,CLS,C,1,0,1,1,0,1,0,0
Phillip Danault,MON,C,81,12,41,53,39,132,95,60
Marko Dano,CLS,C,8,0,0,0,7,3,16,3
Laurent Dauphin,NSH,C,1,0,0,0,0,2,0,1
Brandon Davidson,CGY,D,10,0,1,1,15,7,17,15
Jean-Sebastien Dea,BUF,C,23,4,2,6,8,29,21,12
Anthony DeAngelo,NYR,D,61,4,26,30,77,111,54,82
Alex DeBrincat,CHI,RW,82,41,35,76,15,220,35,26
Jake DeBrusk,BOS,LW,68,27,15,42,18,156,45,24
Danny DeKeyser,DET,D,52,5,15,20,39,59,79,94
Dylan DeMelo,OTT,D,77,4,18,22,32,109,121,130
Jason Demers,ARI,D,35,2,6,8,12,39,50,43
Travis Dermott,TOR,D,64,4,13,17,22,98,100,57
Nicolas Deslauriers,ANH,LW,48,2,3,5,22,48,135,22
Jason Dickinson,DAL,C,67,6,16,22,23,94,106,50
Brenden Dillon,SJ,D,82,1,21,22,61,71,202,78
Christian Djoos,WAS,D,45,1,9,10,4,33,18,28
Max Domi,MON,C,82,28,44,72,80,203,53,39
Ryan Donato,MIN,C,56,10,15,25,6,139,24,21
Matt Donovan,NSH,D,2,0,1,1,2,1,0,3
Joonas Donskoi,COL,RW,80,14,23,37,10,115,36,36
Jake Dotchin,STL,D,20,0,1,1,39,7,54,16
Drew Doughty,LA,D,82,8,37,45,44,154,168,120
Nic Dowd,WAS,C,64,8,14,22,20,47,97,37
Justin Dowling,DAL,C,11,0,1,1,0,9,11,7
Leon Draisaitl,EDM,C,82,50,55,105,52,231,57,26
Sheldon Dries,COL,C,40,3,3,6,26,44,66,20
Jonathan Drouin,MON,C,81,18,35,53,26,190,55,23
Dillon Dube,CGY,C,25,1,4,5,4,22,11,3
Brandon Dubinsky,CLS,C,61,6,8,14,36,63,147,28
Pierre-Luc Dubois,CLS,LW,82,27,34,61,64,174,115,52
Matt Duchene,NSH,C,73,31,39,70,8,172,28,40
Anthony Duclair,OTT,LW,74,19,14,33,14,132,32,33
Mathew Dumba,MIN,D,32,12,10,22,21,93,60,43
Brian Dumoulin,PIT,D,76,3,20,23,20,99,141,129
Vince Dunn,STL,D,78,12,23,35,45,150,48,68
Christian Dvorak,ARI,LW,20,2,5,7,2,25,16,7
Ryan Dzingel,CAR,C,78,26,30,56,29,159,54,38
